seed,sched,reward,throughput_mbps,goodput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
20080,PPO,5286.4891,82.561,80.8353,14.3768,0.6375,0.3601,0.0001,2.7797,0.6952
20080,SUS+CQI,4498.2726,83.0827,77.3685,11.9182,0.6032,0.3943,0.0001,3.9745,0.7001
20080,SUS+DPF,2085.5325,75.942,65.8635,12.0205,0.5179,0.479,0.0001,3.9981,0.7055
20080,SUS+PF,2088.77,76.2689,66.2404,11.9402,0.5214,0.4757,0.0004,3.9974,0.7036
20080,SUS+Rnd,932.8729,72.1477,61.0461,11.9136,0.482,0.5141,0.0001,3.999,0.6743
20080,SU+CQI,2964.3411,75.2787,72.6683,24.562,0.5643,0.4333,0.0,1.0,0.6297
20080,SU+DPF,115.9934,64.6895,57.4346,24.1298,0.4528,0.5415,0.0005,1.0,0.7031
20080,SU+PF,-0.2637,66.9818,58.2216,24.324,0.4611,0.5356,0.0004,1.0,0.691
20080,SU+Rnd,-4038.0284,53.526,40.3686,22.6991,0.3289,0.6667,0.0002,1.0,0.7316
20081,PPO,2063.6407,90.0737,88.1432,17.2076,0.5255,0.4708,0.0,2.7579,0.5664
20081,SUS+CQI,1205.4577,90.5268,83.7776,15.0935,0.4969,0.4993,0.0,3.9981,0.5872
20081,SUS+DPF,-3086.6211,77.0724,62.8885,16.3464,0.3801,0.614,0.0003,3.9998,0.639
20081,SUS+PF,-2894.4197,78.8299,64.47,16.3247,0.3892,0.6055,0.0003,3.9997,0.6328
20081,SUS+Rnd,-4559.0162,72.3966,57.9192,16.499,0.3501,0.6448,0.0001,3.9999,0.5815
20081,SU+CQI,-1122.1992,78.4231,76.4866,32.0215,0.4526,0.5435,0.0,1.0,0.4999
20081,SU+DPF,-6038.7712,61.4644,51.267,30.6857,0.3104,0.6835,0.0,1.0,0.6733
20081,SU+PF,-6040.8584,64.3632,52.2632,30.8874,0.3199,0.674,0.0007,1.0,0.6585
20081,SU+Rnd,-10355.2652,50.7543,34.2167,29.2668,0.215,0.7796,0.0001,1.0,0.6847
20082,PPO,7356.7484,103.6635,101.573,15.0268,0.659,0.3373,0.0001,3.2916,0.6984
20082,SUS+CQI,6817.4257,104.3777,98.7839,13.9359,0.6387,0.358,0.0001,3.9904,0.7146
20082,SUS+DPF,2949.5084,91.5313,80.5196,14.1879,0.5263,0.4685,0.0005,3.9995,0.7242
20082,SUS+PF,2877.4172,92.6222,80.8205,14.1623,0.5281,0.4669,0.0007,3.9989,0.7209
20082,SUS+Rnd,1689.448,88.4943,74.9609,14.1034,0.4929,0.5017,0.0002,3.9997,0.6998
20082,SU+CQI,2344.438,85.3866,82.5966,30.4499,0.5333,0.463,0.0,1.0,0.5955
20082,SU+DPF,-1681.2612,69.301,61.7432,28.8788,0.4021,0.5911,0.0002,1.0,0.737
20082,SU+PF,-1991.879,71.9985,61.6386,28.9333,0.4067,0.5871,0.0005,1.0,0.7314
20082,SU+Rnd,-5272.2144,61.4804,47.0701,28.0154,0.3176,0.676,0.0004,1.0,0.745
20083,PPO,3425.4848,101.9256,99.0442,17.3291,0.5481,0.4491,0.0,3.0975,0.5959
20083,SUS+CQI,3103.979,103.4275,97.314,16.6436,0.5361,0.461,0.0,3.9996,0.6116
20083,SUS+DPF,-3885.8287,79.4309,65.421,16.3413,0.3651,0.6299,0.0002,4.0,0.6525
20083,SUS+PF,-3718.5112,82.2853,66.9743,16.5469,0.3745,0.6212,0.0002,4.0,0.6435
20083,SUS+Rnd,-4703.517,79.1208,62.0754,16.4529,0.3502,0.6451,0.0001,4.0,0.6012
20083,SU+CQI,-1849.9291,82.3971,79.657,28.0772,0.4366,0.5601,0.0,1.0,0.4865
20083,SU+DPF,-6680.1977,64.1695,54.5135,26.4079,0.3059,0.689,0.0,1.0,0.6784
20083,SU+PF,-7069.4805,66.8692,53.9128,26.5491,0.3067,0.6884,0.0005,1.0,0.6696
20083,SU+Rnd,-11132.2125,53.3826,37.0691,25.2185,0.2154,0.7794,0.0001,1.0,0.6843
20084,PPO,7091.7463,81.9389,80.5374,16.1379,0.723,0.2749,0.0001,2.7502,0.7466
20084,SUS+CQI,6322.988,80.6461,76.8408,13.0673,0.6894,0.3085,0.0,3.9745,0.7536
20084,SUS+DPF,4814.6269,75.9844,69.4811,13.0765,0.6265,0.37,0.0,3.9948,0.7593
20084,SUS+PF,4885.0978,76.5148,70.0861,13.0008,0.632,0.365,0.0,3.992,0.7584
20084,SUS+Rnd,3815.4331,72.5475,65.3148,13.2103,0.5907,0.4056,0.0003,3.9985,0.7359
20084,SU+CQI,5125.9769,74.6381,72.8349,33.6943,0.6529,0.3446,0.0,1.0,0.6978
20084,SU+DPF,2859.9618,66.0153,61.2275,33.443,0.5537,0.442,0.0,1.0,0.7506
20084,SU+PF,2812.8605,67.6878,61.9831,33.6163,0.5608,0.4354,0.0001,1.0,0.7451
20084,SU+Rnd,-1211.0712,54.2726,43.5433,32.3679,0.4059,0.5887,0.0003,1.0,0.763
20085,PPO,4435.8392,124.4005,121.1548,17.8867,0.5546,0.4422,0.0,3.402,0.6029
20085,SUS+CQI,3943.2223,126.1626,118.6077,17.3366,0.5395,0.4572,0.0,3.9985,0.618
20085,SUS+DPF,-5917.0931,91.3632,73.0005,15.6412,0.339,0.6553,0.0,4.0,0.7285
20085,SUS+PF,-6060.3286,95.0811,72.6426,15.8503,0.3405,0.6541,0.0,4.0,0.7202
20085,SUS+Rnd,-6977.1409,91.0289,69.6198,16.1583,0.3261,0.6689,0.0001,4.0,0.6416
20085,SU+CQI,-3830.3104,92.573,90.6231,35.1604,0.4111,0.5853,0.0,1.0,0.4573
20085,SU+DPF,-10136.7278,69.661,56.8655,32.6037,0.2664,0.7277,0.0,1.0,0.752
20085,SU+PF,-10616.4437,72.6273,56.4563,32.6928,0.2692,0.7256,0.0001,1.0,0.7518
20085,SU+Rnd,-15088.5444,58.0449,38.4668,31.2841,0.1877,0.8067,0.0,1.0,0.7587
20086,PPO,3657.8652,112.7422,111.4283,15.7291,0.5489,0.4485,0.0001,2.7271,0.5719
20086,SUS+CQI,2996.8373,112.5046,107.997,14.1562,0.5311,0.4662,0.0,3.9982,0.5803
20086,SUS+DPF,-5138.2034,82.1799,71.1799,14.2616,0.3542,0.6413,0.0002,3.9996,0.6017
20086,SUS+PF,-5332.3332,85.1101,70.9463,14.4537,0.3555,0.6403,0.0002,3.9995,0.5963
20086,SUS+Rnd,-3860.1121,90.0343,76.6696,14.5769,0.3838,0.6123,0.0,3.9997,0.5648
20086,SU+CQI,-1971.6066,91.1581,89.3974,29.4139,0.4401,0.5569,0.0,1.0,0.4841
20086,SU+DPF,-8360.0866,65.8731,57.8042,27.6351,0.2894,0.7054,0.0,1.0,0.621
20086,SU+PF,-9001.7264,68.0065,57.1264,27.8101,0.2888,0.7065,0.0005,1.0,0.6181
20086,SU+Rnd,-12179.2223,58.0915,42.9497,26.6538,0.2235,0.7714,0.0004,1.0,0.6236
20087,PPO,3326.2744,123.9086,119.4329,15.2526,0.5307,0.4661,0.0,3.7566,0.5984
20087,SUS+CQI,3113.5622,126.8227,119.0114,15.4372,0.5226,0.4745,0.0,3.9999,0.6138
20087,SUS+DPF,-6981.1438,90.179,72.5448,13.1091,0.3254,0.6693,0.0,4.0,0.7276
20087,SUS+PF,-7141.2509,93.9753,72.9105,13.3069,0.3283,0.667,0.0001,4.0,0.72
20087,SUS+Rnd,-7775.6497,92.3481,69.5255,13.7829,0.3155,0.6799,0.0,4.0,0.6639
20087,SU+CQI,-5664.2505,89.2513,87.0589,33.3322,0.382,0.6142,0.0,1.0,0.4329
20087,SU+DPF,-11384.2903,67.2869,56.4006,30.5419,0.2547,0.7397,0.0,1.0,0.7439
20087,SU+PF,-12067.341,70.1224,55.3344,30.5472,0.2534,0.7416,0.0,1.0,0.7426
20087,SU+Rnd,-15387.5751,60.873,40.9956,29.7189,0.1919,0.803,0.0001,1.0,0.7518
20088,PPO,1853.0147,70.8513,69.5767,10.9967,0.5339,0.4633,0.0,2.5019,0.5521
20088,SUS+CQI,1405.0791,69.58,67.6201,8.2616,0.5188,0.4782,0.0001,3.7738,0.5495
20088,SUS+DPF,-289.2048,63.7713,59.6775,7.6687,0.4609,0.5355,0.0,3.9087,0.5503
20088,SUS+PF,-290.9027,64.236,59.6606,7.794,0.4614,0.535,0.0,3.8893,0.5506
20088,SUS+Rnd,20.4719,64.853,61.1115,7.7686,0.4717,0.5247,0.0001,3.9148,0.5446
20088,SU+CQI,854.4712,66.8285,65.6069,23.1458,0.5037,0.4934,0.0,1.0,0.5341
20088,SU+DPF,-1815.329,56.4559,53.1471,23.027,0.411,0.5847,0.0,1.0,0.5583
20088,SU+PF,-1759.7335,58.368,53.6836,23.1225,0.417,0.5792,0.0004,1.0,0.5547
20088,SU+Rnd,-4658.9221,47.9737,41.2023,21.6819,0.3237,0.6716,0.0002,1.0,0.5606
20089,PPO,3318.6511,34.6876,33.3707,8.4383,0.7621,0.2365,0.0,1.8177,0.8344
20089,SUS+CQI,2615.9932,33.8783,30.3614,2.8669,0.6857,0.3122,0.0004,3.5757,0.8198
20089,SUS+DPF,2549.6583,33.7595,30.0419,2.7786,0.6783,0.3196,0.0004,3.6556,0.8227
20089,SUS+PF,2535.8039,33.7377,29.9967,2.7868,0.6772,0.3207,0.0004,3.6496,0.8223
20089,SUS+Rnd,2287.3041,32.8294,28.887,2.5122,0.6536,0.3442,0.0004,3.7642,0.8063
20089,SU+CQI,3259.3713,35.4835,33.2146,11.8425,0.7487,0.2496,0.0004,1.0,0.8406
20089,SU+DPF,3077.5042,35.3529,32.2124,11.8234,0.7262,0.2721,0.0004,1.0,0.8598
20089,SU+PF,3041.6954,35.2527,32.1225,11.8264,0.7247,0.2735,0.0004,1.0,0.8576
20089,SU+Rnd,1937.8553,31.8583,26.8458,11.4604,0.6156,0.3819,0.0004,1.0,0.8371
